related_ref,groupId
"3,304,869,918",1
"11,269,846,956",2
"13,328",3
"16,376",4
"18,198",5
"26,51",6
"27,384",7
"28,287,811",144
"34,967",9
"1086,362,38,50,785",10
"356,40",11
"44,454",12
"48,736",13
"131,142,236,434,49,588,936",14
"1034,52",15
"1059,53",16
"1191,363,471,59",17
"1198,60",174
"518,62,98",19
"64,92",20
"1083,201,319,480,535,705,82,83",21
"1149,190,302,342,488,87,947",157
"91,947",157
"1224,271,93",23
"292,95",24
"467,521,672,96",25
"122,629,99",26
"100,173",27
"106,1085,121,322,419,887",152
"109,146",29
"115,190,302,342,444",157
"1107,117,947",157
"124,229,635,657,719",30
"125,514,531",31
"127,955",32
"1195,139,266,456,508,716",33
"140,598",34
"141,549",35
"143,311",36
"147,261,513,727",37
"1055,148,221,251,367,410,414",38
"1268,153",39
"155,638",40
"156,427,781",41
"160,776",42
"164,415,712,845",43
"172,188,247,758,812",44
"1263,178,276",45
"1019,180,223,463,636,659,887,943",152
"182,445",46
"183,196,217",47
"184,465",48
"1038,186,435,744,798,186,222,249,259,435,950,186,246",142
"1149,190,302,342,488,87,947,115,190,302,342,444",157
"191,694",50
"193,200,660,668,718",51
"203,310,401,423,548,617,991",52
"1036,206",53
"207,218",54
"208,980",55
"209,303",56
"210,231",57
"1046,1065,212,756",165
"213,446,583",59
"216,253,793",161
"186,222,249,259,435,950",142
"224,809",61
"226,368",62
"227,284,528,887",152
"228,348,353,228,352",93
"1046,232",165
"1127,240",64
"241,289",65
"243,862",66
"186,246",142
"250,796",67
"1066,256",68
"1015,263",69
"265,350",70
"1088,273",71
"1094,278,295,687,693,721",72
"282,296",73
"283,297",74
"286,539",75
"290,301,378,885,945",76
"293,341",77
"300,305",78
"1100,308",79
"313,859",80
"1130,314,403",81
"1046,1245,1259,316,505,578,667",165
"1084,318,344,449",82
"324,658,661,963",83
"325,722",84
"326,487",85
"1108,329",86
"334,691",87
"336,656",88
"337,391,780",89
"338,585,670,933,947",157
"1093,343",90
"346,441",91
"228,348,353",93
"351,360,373",92
"228,352",93
"1046,365,520,601,633,922",165
"372,374",94
"375,483",95
"377,529",96
"1198,383",174
"387,432,436,568,961",97
"389,474",98
"394,424,451,909",136
"1179,396",100
"397,586,923",101
"399,931",102
"402,908",103
"1046,418,633",165
"394,424,451,909,424,677,909",136
"1038,186,435,744,798,186,222,249,259,435,950",142
"440,700,778",104
"442,704",105
"450,607",106
"452,647",107
"1128,453",108
"457,600,457,830",147
"1067,464,774",110
"479,579,682,765",111
"485,557,790,815,817",112
"490,907",113
"492,811",144
"495,679,832",114
"499,688,747,852",115
"504,663",116
"510,577,944",117
"511,737",118
"519,892",119
"525,589",120
"533,871",121
"536,926",122
"566,623",123
"570,708",124
"571,580",125
"594,696,889",126
"595,678",127
"457,600",147
"602,894",128
"608,912",129
"610,632,794",130
"1001,1276,613,707,713,763,769,775,884,911,913,971,613,627,684,697,709,720",166
"618,865",132
"1031,1049,627,684,720,751,763,972,613,627,684,697,709,720",166
"1046,365,520,601,633,922,1046,418,633",165
"642,728",133
"1258,671,764",175
"674,888",135
"424,677,909",136
"1174,690,882",137
"692,699,720,740,768,958",166
"613,627,684,697,709,720",166
"1032,698,702,710,720",166
"1001,1276,613,707,713,763,769,775,884,911,913,971",166
"711,932",138
"1031,1049,627,684,720,751,763,972,1032,698,702,710,720,1049,720,769,613,627,684,697,709,720,692,699,720,740,768,958",166
"1109,723",139
"732,746,998",140
"734,759",141
"1038,186,435,744,798",142
"1031,1049,627,684,720,751,763,972",166
"1001,1276,613,707,713,763,769,775,884,911,913,971,1031,1049,627,684,720,751,763,972",166
"1001,1276,613,707,713,763,769,775,884,911,913,971,1049,720,769",166
"1009,793,216,253,793",161
"806,838",143
"28,287,811,492,811",144
"819,820",145
"828,851",146
"457,830",147
"1226,837",148
"1033,849,861",149
"1199,883",150
"1082,886",151
"1019,180,223,463,636,659,887,943,106,1085,121,322,419,887,227,284,528,887",152
"895,896",153
"899,905",154
"1000,1022,1041,1275,911,914,983,1000,1043,911,916,983,1001,1276,613,707,713,763,769,775,884,911,913,971,1042,1180,911,915,911,917",166
"1000,1022,1041,1275,911,914,983",159
"1042,1180,911,915",159
"1000,1043,911,916,983",159
"911,917",159
"1274,920,987",155
"1120,942",156
"1107,117,947,1149,190,302,342,488,87,947,338,585,670,933,947,91,947",157
"1119,970,982",163
"1013,982,1119,970,982",163
"1000,1022,1041,1275,911,914,983,1000,1043,911,916,983",159
"1008,1166",160
"1009,793",161
"1010,1178",171
"1011,1258",175
"1013,982",163
"1039,1058,1110",164
"1046,1065,212,756,1046,1245,1259,316,505,578,667,1046,232,1046,365,520,601,633,922,1046,418,633",165
"1031,1049,627,684,720,751,763,972,1049,720,769",166
"1095,1148",167
"1131,1258",175
"1133,1246",168
"1147,1178,1265",171
"1155,1158",169
"1159,1171",170
"1010,1178,1147,1178,1265",171
"1184,1186",172
"1188,1189,1264",173
"1198,383,1198,60",174
"1011,1258,1131,1258,1258,671,764",175
